股票代码,公司名称,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
300551,古鳌科技,,-45.69%,,31.71%,,35.29%,15.60%,-267.81%,,一季报
300552,万集科技,,25.34%,,49.14%,,34.18%,29.14%,-11.03%,,一季报
300561,汇金科技,,-1.16%,,-309.78%,,10.24%,40.49%,-21.80%,,一季报
300565,科信技术,,-1.50%,,28.85%,,63.83%,22.61%,-10.61%,,一季报
300566,激智科技,,5.52%,,-3.21%,,36.42%,26.36%,11.54%,,一季报
300567,精测电子,,7.26%,,13.61%,,53.31%,45.44%,4.14%,,一季报
300571,平治信息,,15.00%,,-53.61%,,77.06%,10.19%,1.09%,,一季报
300578,会畅科技,,-21.59%,,-281.48%,,10.96%,30.43%,-13.62%,,一季报
300579,数字认证,,8.62%,,51.59%,,45.62%,52.80%,-6.02%,,一季报
300585,奥联电子,,-19.91%,,-210.51%,,25.80%,16.39%,-7.72%,,一季报
300587,天铁科技,,-0.83%,,76.58%,,63.26%,41.18%,5.00%,,一季报
300588,熙菱信息,,-33.23%,,-43.72%,,54.18%,27.57%,-82.34%,,一季报
300590,移为通信,,99.27%,,430.64%,,14.75%,40.81%,16.56%,,一季报
300597,吉大通信,,8.98%,,-59.19%,,38.91%,15.55%,-5.22%,,一季报
300598,诚迈科技,,2.14%,,19.39%,,48.75%,10.66%,-7.64%,,一季报
300599,雄塑科技,,-0.58%,,68902.02%,,12.31%,13.07%,14.82%,,一季报
300600,国瑞科技,,14.90%,,7.99%,,14.91%,23.64%,-6.57%,,一季报
300603,立昂技术,,-20.29%,,-34.81%,,39.05%,7.03%,-21.76%,,一季报
300604,长川科技,,69.09%,,217.60%,,49.42%,56.81%,26.05%,,一季报
300605,恒锋信息,,-0.76%,,-5859.02%,,64.65%,9.05%,-19.47%,,一季报
300609,汇纳科技,,29.03%,,-666.58%,,22.92%,31.66%,-32.21%,,一季报
300611,美力科技,,7.17%,,-49.04%,,73.09%,23.59%,4.24%,,一季报
300615,欣天科技,,79.40%,,-789.84%,,48.83%,19.90%,-29.56%,,一季报
300620,光库科技,,60.80%,,312.52%,,42.00%,36.63%,9.91%,,一季报
300624,万兴科技,,-2.87%,,-46.23%,,37.42%,87.66%,-12.95%,,一季报
300628,亿联网络,,18.83%,,16.68%,,7.58%,65.24%,45.79%,,一季报
300648,星云股份,,4.86%,,-298.79%,,57.98%,34.23%,-6.73%,,一季报
300656,民德电子,,21.31%,,-178.49%,,59.48%,29.12%,-76.32%,,一季报
