股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
300304,云意电气,1.09,24.2,96.93,2.87,0.71,11.37,,0
300315,掌趣科技,2.57,-64.74,109.12,2.37,1.26,4.03,,0
300319,麦捷科技,16.0,58.61,178.77,3.77,0.43,21.0,,0
300323,华灿光电,5.88,-60.95,107.3,2.96,1.95,12.04,,0
300324,旋极信息,1.82,-13.15,61.73,2.64,2.27,3.61,,0
300328,宜安科技,13.83,-232.87,120.38,11.68,-1.63,17.5,,0
300327,中颖电子,3.85,95.63,85.52,4.78,4.21,25.24,,0
300334,津膜科技,2.45,-59.9,24.46,4.55,-0.61,8.1,,0
300339,润和软件,2.19,240.42,281.29,7.87,0.95,36.17,,0
300333,兆日科技,14.39,142.16,41.38,6.75,-4.48,12.36,,0
300346,南大光电,4.25,105.0,369.86,10.9,0.38,55.87,,0
300349,金卡智能,1.3,20.37,38.38,0.97,0.97,10.38,,0
300348,长亮科技,2.22,-1646.78,73.26,3.86,-0.3,10.03,,0
300353,东土科技,1.86,77.79,99.41,5.1,-1.13,18.39,,0
300360,炬华科技,0.9,14.92,57.96,1.43,0.0,11.58,,0
300358,楚天科技,3.32,15.47,62.87,1.14,-1.44,8.92,,0
300370,安控科技,1.13,-25.07,34.82,8.53,-1.33,2.23,,0
300365,恒华科技,1.47,-10.82,24.51,1.84,0.84,4.79,,0
300369,绿盟科技,8.33,-2202.05,61.01,2.41,4.43,7.55,,0
300373,扬杰科技,2.93,35.47,505.39,5.05,-1.28,93.22,,0
300387,富邦科技,4.43,41.97,22.31,1.54,-2.77,7.72,,0
300380,安硕信息,2.28,146.42,37.67,4.86,-1.13,29.64,,0
300399,天利科技,2.56,2909.43,37.6,7.42,-0.21,19.03,,0
300409,道氏技术,2.4,25.1,126.57,1.76,-0.82,18.18,,0
300394,天孚通信,2.64,123.54,2862.46,45.91,-0.22,263.0,,0
300423,昇辉科技,2.04,-10.66,19.3,2.68,-0.17,5.79,,0
300410,正业科技,5.17,72.17,30.32,10.66,2.61,8.26,,0
300412,迦南科技,1.79,116.03,22.04,2.3,0.86,4.71,,0
300440,运达科技,4.93,146.92,89.84,5.41,4.13,20.42,,0
300433,蓝思科技,1.91,59.53,1933.73,3.89,1.83,38.93,,0
300424,航新科技,6.56,-44.6,35.06,4.86,3.72,13.67,,0
300448,浩云科技,2.06,-141.61,36.62,3.24,1.78,5.73,,0
300450,先导智能,2.99,31.63,524.27,3.13,0.54,33.62,,0
300442,润泽科技,1.66,20.23,1083.51,7.5,4.91,66.22,,0
300456,赛微电子,11.38,7.06,240.58,3.26,-0.35,40.26,,0
300457,赢合科技,1.73,22.19,134.89,1.93,-0.47,21.25,,0
300458,全志科技,10.45,57.0,276.08,9.67,9.39,33.91,,0
300466,赛摩智能,1.26,-264.37,34.82,5.78,1.48,7.56,,0
300467,迅游科技,2.99,308.55,60.26,11.24,3.5,36.06,,0
300469,信息发展,3.0,-73.87,130.29,65.53,-3.56,52.51,,0
300479,神思电子,2.03,67.09,29.83,5.61,0.87,15.15,,0
